,blue,green,red,label
773,68,84,148,red
774,68,84,148,red
775,68,84,148,red
776,68,84,148,red
777,68,84,148,red
778,68,84,148,red
779,68,84,148,red
780,68,84,148,red
781,68,84,148,red
782,68,84,148,red
783,68,84,148,red
784,68,84,148,red
785,68,84,148,red
786,68,84,148,red
787,68,84,148,red
788,68,84,148,red
789,68,84,148,red
790,68,84,148,red
791,68,84,148,red
792,68,84,148,red
793,68,84,148,red
794,68,84,148,red
795,68,84,148,red
796,68,84,148,red
797,68,84,148,red
798,68,84,148,red
799,68,84,148,red
800,68,84,148,red
801,68,84,148,red
802,68,84,148,red
803,68,84,148,red
804,68,84,148,red
805,68,84,148,red
806,68,84,148,red
807,68,84,148,red
808,68,84,148,red
809,68,84,148,red
810,68,84,148,red
811,68,84,148,red
812,68,84,148,red
813,68,84,148,red
814,68,84,148,red
815,68,84,148,red
816,68,84,148,red
817,68,84,148,red
818,68,84,148,red
819,68,84,148,red
820,68,84,148,red
821,68,84,148,red
822,68,84,148,red
823,68,84,148,red
824,68,84,148,red
825,68,84,148,red
826,68,84,148,red
827,68,84,148,red
828,68,84,148,red
829,68,84,148,red
830,68,84,148,red
831,68,84,148,red
832,68,84,148,red
833,68,84,148,red
834,68,84,148,red
835,68,84,148,red
836,68,84,148,red
837,68,84,148,red
838,68,84,148,red
839,68,84,148,red
840,68,84,148,red
841,68,84,148,red
842,68,84,148,red
843,68,84,148,red
844,68,84,148,red
845,68,84,148,red
846,68,84,148,red
847,68,84,148,red
848,68,84,148,red
849,68,84,148,red
850,68,84,148,red
851,68,84,148,red
852,68,84,148,red
853,68,84,148,red
854,68,84,148,red
855,68,84,148,red
856,68,84,148,red
857,68,84,148,red
858,68,84,148,red
859,68,84,148,red
860,68,84,148,red
861,68,84,148,red
862,68,84,148,red
863,68,84,148,red
864,68,84,148,red
865,68,84,148,red
866,68,84,148,red
867,68,84,148,red
868,68,84,148,red
869,68,84,148,red
870,68,84,148,red
871,68,84,148,red
872,68,84,148,red
873,68,84,148,red
874,68,84,148,red
875,68,84,148,red
876,68,84,148,red
877,68,84,148,red
878,68,84,148,red
879,68,84,148,red
880,68,84,148,red
881,68,84,148,red
882,68,84,148,red
883,68,84,148,red
884,68,84,148,red
885,68,84,148,red
886,68,84,148,red
887,68,84,148,red
888,68,84,148,red
889,68,84,148,red
890,68,84,148,red
891,68,84,148,red
892,68,84,148,red
893,68,84,148,red
894,68,84,148,red
895,68,84,148,red
896,68,84,148,red
897,68,84,148,red
898,68,84,148,red
899,68,84,148,red
900,68,84,148,red
901,68,84,148,red
902,68,84,148,red
903,68,84,148,red
904,68,84,148,red
905,68,84,148,red
906,68,84,148,red
907,68,84,148,red
908,68,84,148,red
909,68,84,148,red
910,68,84,148,red
911,68,84,148,red
912,68,84,148,red
913,68,84,148,red
914,68,84,148,red
915,68,84,148,red
916,68,84,148,red
917,68,84,148,red
918,68,84,148,red
919,68,84,148,red
920,68,84,148,red
921,68,84,148,red
922,68,84,148,red
923,68,84,148,red
924,68,84,148,red
925,68,84,148,red
926,68,84,148,red
927,68,84,148,red
928,68,84,148,red
929,68,84,148,red
930,68,84,148,red
931,68,84,148,red
932,68,84,148,red
933,68,84,148,red
934,68,84,148,red
935,68,84,148,red
936,68,84,148,red
937,68,84,148,red
938,68,84,148,red
939,68,84,148,red
940,68,84,148,red
941,68,84,148,red
942,68,84,148,red
943,68,84,148,red
944,68,84,148,red
945,68,84,148,red
946,68,84,148,red
947,68,84,148,red
948,68,84,148,red
949,68,84,148,red
950,68,84,148,red
951,68,84,148,red
952,68,84,148,red
953,68,84,148,red
954,68,84,148,red
955,68,84,148,red
956,68,84,148,red
957,68,84,148,red
958,68,84,148,red
959,68,84,148,red
960,68,84,148,red
961,68,84,148,red
962,68,84,148,red
963,68,84,148,red
964,68,84,148,red
965,68,84,148,red
966,68,84,148,red
967,68,84,148,red
968,68,84,148,red
969,68,84,148,red
970,68,84,148,red
971,68,84,148,red
972,68,84,148,red
973,68,84,148,red
974,68,84,148,red
975,68,84,148,red
976,68,84,148,red
977,68,84,148,red
978,68,84,148,red
979,68,84,148,red
980,68,84,148,red
981,68,84,148,red
982,68,84,148,red
983,68,84,148,red
984,68,84,148,red
985,68,84,148,red
986,68,84,148,red
987,68,84,148,red
988,68,84,148,red
989,68,84,148,red
990,68,84,148,red
991,68,84,148,red
992,68,84,148,red
993,68,84,148,red
994,68,84,148,red
995,68,84,148,red
996,68,84,148,red
997,68,84,148,red
998,68,84,148,red
999,68,84,148,red
1000,68,84,148,red
1001,68,84,148,red
1002,68,84,148,red
1003,68,84,148,red
1004,68,84,148,red
1005,68,84,148,red
1006,68,84,148,red
1007,68,84,148,red
1008,68,84,148,red
1009,68,84,148,red
1010,68,84,148,red
1011,68,84,148,red
1012,68,84,148,red
1013,68,84,148,red
1014,68,84,148,red
1015,68,84,148,red
1016,68,84,148,red
1017,68,84,148,red
1018,68,84,148,red
1019,68,84,148,red
1020,68,84,148,red
1021,68,84,148,red
1022,68,84,148,red
1023,68,84,148,red
1024,68,84,148,red
1025,68,84,148,red
1026,68,84,148,red
1027,68,84,148,red
1028,68,84,148,red
1029,68,84,148,red
1030,68,84,148,red
1031,68,84,148,red
1032,68,84,148,red
1033,68,84,148,red
1034,68,84,148,red
1035,68,84,148,red
1036,68,84,148,red
1037,68,84,148,red
1038,68,84,148,red
1039,68,84,148,red
1040,68,84,148,red
1041,68,84,148,red
1042,68,84,148,red
1043,68,84,148,red
1044,68,84,148,red
1045,68,84,148,red
1046,68,84,148,red
1047,68,84,148,red
1048,68,84,148,red
1049,68,84,148,red
1050,68,84,148,red
1051,68,84,148,red
1052,68,84,148,red
1053,68,84,148,red
1054,68,84,148,red
1055,68,84,148,red
1056,68,84,148,red
1057,68,84,148,red
1058,68,84,148,red
1059,68,84,148,red
1060,68,84,148,red
1061,68,84,148,red
1062,68,84,148,red
1063,68,84,148,red
1064,68,84,148,red
1065,68,84,148,red
1066,68,84,148,red
1067,68,84,148,red
1068,68,84,148,red
1069,68,84,148,red
1070,68,84,148,red
1071,68,84,148,red
1072,68,84,148,red
1073,68,84,148,red
1074,68,84,148,red
1075,68,84,148,red
1076,68,84,148,red
1077,68,84,148,red
1078,68,84,148,red
1079,68,84,148,red
1080,68,84,148,red
1081,68,84,148,red
1082,68,84,148,red
1083,68,84,148,red
1084,68,84,148,red
1085,68,84,148,red
1086,68,84,148,red
1087,68,84,148,red
1088,68,84,148,red
1089,68,84,148,red
1090,68,84,148,red
1091,68,84,148,red
1092,68,84,148,red
1093,68,84,148,red
1094,68,84,148,red
1095,68,84,148,red
1096,68,84,148,red
1097,68,84,148,red
1098,68,84,148,red
1099,68,84,148,red
1100,68,84,148,red
1101,68,84,148,red
1102,68,84,148,red
1103,68,84,148,red
1104,68,84,148,red
1105,68,84,148,red
1106,68,84,148,red
1107,68,84,148,red
1108,68,84,148,red
1109,68,84,148,red
1110,68,84,148,red
1111,68,84,148,red
1112,68,84,148,red
1113,68,84,148,red
1114,68,84,148,red
1115,68,84,148,red
1116,68,84,148,red
1117,68,84,148,red
1118,68,84,148,red
1119,68,84,148,red
1120,68,84,148,red
1121,68,84,148,red
1122,68,84,148,red
1123,68,84,148,red
1124,68,84,148,red
1125,68,84,148,red
1126,68,84,148,red
1127,68,84,148,red
1128,68,84,148,red
1129,68,84,148,red
1130,68,84,148,red
1131,68,84,148,red
1132,68,84,148,red
1133,68,84,148,red
1134,68,84,148,red
1135,68,84,148,red
1136,68,84,148,red
1137,68,84,148,red
1138,68,84,148,red
1139,68,84,148,red
1140,68,84,148,red
1141,68,84,148,red
1142,68,84,148,red
1143,68,84,148,red
1144,68,84,148,red
1145,68,84,148,red
1146,68,84,148,red
1147,68,84,148,red
1148,68,84,148,red
1149,68,84,148,red
1150,68,84,148,red
1151,68,84,148,red
1152,68,84,148,red
1153,68,84,148,red
1154,68,84,148,red
1155,68,84,148,red
1156,68,84,148,red
1157,68,84,148,red
1158,68,84,148,red
1159,68,84,148,red
1160,68,84,148,red
1161,68,84,148,red
1162,68,84,148,red
1163,68,84,148,red
1164,68,84,148,red
1165,68,84,148,red
1166,68,84,148,red
1167,68,84,148,red
1168,68,84,148,red
1169,68,84,148,red
1170,68,84,148,red
1171,68,84,148,red
1172,68,84,148,red
1173,68,84,148,red
1174,68,84,148,red
1175,68,84,148,red
1176,68,84,148,red
1177,68,84,148,red
1178,68,84,148,red
1179,68,84,148,red
1180,68,84,148,red
1181,68,84,148,red
1182,68,84,148,red
1183,68,84,148,red
1184,68,84,148,red
1185,68,84,148,red
1186,68,84,148,red
1187,68,84,148,red
1188,68,84,148,red
1189,68,84,148,red
1190,68,84,148,red
1191,68,84,148,red
1192,68,84,148,red
1193,68,84,148,red
1194,68,84,148,red
1195,68,84,148,red
1196,68,84,148,red
1197,68,84,148,red
1198,68,84,148,red
1199,68,84,148,red
1200,68,84,148,red
1201,68,84,148,red
1202,68,84,148,red
1203,68,84,148,red
1204,68,84,148,red
1205,68,84,148,red
1206,68,84,148,red
1207,68,84,148,red
1208,68,84,148,red
1209,68,84,148,red
1210,68,84,148,red
1211,68,84,148,red
1212,68,84,148,red
1213,68,84,148,red
1214,68,84,148,red
1215,68,84,148,red
1216,68,84,148,red
1217,68,84,148,red
1218,68,84,148,red
1219,68,84,148,red
1220,68,84,148,red
1221,68,84,148,red
1222,68,84,148,red
1223,68,84,148,red
1224,68,84,148,red
1225,68,84,148,red
1226,68,84,148,red
1227,68,84,148,red
1228,68,84,148,red
1229,68,84,148,red
1230,68,84,148,red
1231,68,84,148,red
1232,68,84,148,red
1233,68,84,148,red
1234,68,84,148,red
1235,68,84,148,red
1236,68,84,148,red
1237,68,84,148,red
1238,68,84,148,red
1239,68,84,148,red
1240,68,84,148,red
1241,68,84,148,red
1242,68,84,148,red
1243,68,84,148,red
1244,68,84,148,red
1245,68,84,148,red
1246,68,84,148,red
1247,68,84,148,red
1248,68,84,148,red
1249,68,84,148,red
1250,68,84,148,red
1251,68,84,148,red
1252,68,84,148,red
1253,68,84,148,red
1254,68,84,148,red
